ลำดับ,เพศ,จังหวัดที่อาศัย,โรงเรียน,สำเร็จการศึกษาจาก,จังหวัด,เกรดเฉลี่ยสะสม,รายได้ครอบครัว,หลักสูตรที่เข้าศึกษา,ปัจจัยสถาบันการศึกษา1,ปัจจัยสถาบันการศึกษา2,ปัจจัยสถาบันการศึกษา3,ปัจจัยสถาบันการศึกษา4,ปัจจัยสถาบันการศึกษา5,ปัจจัยสถาบันการศึกษา6,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร1,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร2,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร3,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร4,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร5,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร6,ปัจจัยในการตัดสินใจ1,ปัจจัยในการตัดสินใจ2,ปัจจัยในการตัดสินใจ3,ปัจจัยในการตัดสินใจ4,ปัจจัยด้านเหตุผลส่วนตัว1,ปัจจัยด้านเหตุผลส่วนตัว2,ปัจจัยด้านเหตุผลส่วนตัว3,ปัจจัยด้านเหตุผลส่วนตัว4,ปัจจัยด้านเหตุผลส่วนตัว5,ปัจจัยด้านสื่อและการประชาสัมพันธ์1,ปัจจัยด้านสื่อและการประชาสัมพันธ์2,ปัจจัยด้านสื่อและการประชาสัมพันธ์3,ปัจจัยด้านสื่อและการประชาสัมพันธ์4,ปัจจัยด้านสื่อและการประชาสัมพันธ์5,จัดการเรียนการสอนที่ศูนย์แม่ริม,ความคาดหวังที่นักศึกษาคิดว่าจะได้รับ,ข้อเสนอแนะ
390,ญ,ลำพูน,มัธยมศึกษาของรัฐ,เวียงเจดีย์วิทยา,ลำพูน,3.56,"10,001-20,000",สาธารณสุขชุมชน,4,4,4,4,5,5,5,4,5,5,5,5,4,4,5,5,5,1,3,4,5,4,3,2,1,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้ความรู้นำไปใช้ในอนาคตข้างหน้าต่อไป
2. จบมามีงานทำ
3. มีได้ความรู้ลึกของสาขานี้
4. ได้เรียนรู้แนวปฏิบัติ",
391,ญ,ลำพูน,มัธยมศึกษาของรัฐ,เวียงเจดีย์วิทยา,ลำพูน,3.70,"10,001-20,000",สาธารณสุขชุมชน,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,3,4,3,4,4,5,4,4,2,5,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. จบมาแล้วมีงานทำ
2. ได้นำความรู้ไปใช้ได้จริง
3. สามารถเรียนรู้และรู้สึกเกี่ยวกับสาขานี้",
392,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,,,2.68,"10,001-20,000",วิทยาการคอมพิวเตอร์,4,4,5,5,5,4,4,4,4,4,4,5,4,3,4,3,4,3,3,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. คาดหวังที่จะได้ความรู้จากสาขาที่เรียน,
393,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีเทคนิคโปลิคลานนา,เชียงใหม่,2.41,"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,4,4,4,4,4,4,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  เรียนได้หมดเพราะระยะทางพอๆ กัน","1. จบมาแล้วมีงานทำ
2. ไม่อยากให้มีระบบ Sotus",
394,ญ,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีเทคนิคโปลิคลานนา,เชียงใหม่,3.82,"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลบ้าน น้ำมันแพง,,
395,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีเทคนิคโปลิคลานนา,เชียงใหม่,3.95,"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,4,3,3,4,5,4,5,5,4,5,4,4,5,3,5,4,4,4,3,4,4,5,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1.อยากเรียนเพื่อนำความรู้ไปประกอบการหางาน
2.จบไปมีงานทำ",
396,ญ,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีเทคนิคโปลิคลานนา,เชียงใหม่,3.84,"20,001-30,000 ",เทคโนโลยีวิศวกรรมก่อสร้าง,3,3,4,3,4,3,3,3,3,3,2,3,3,3,2,2,3,2,2,2,2,3,3,3,3,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไปทำงานตอนเย็นไม่ทัน,,
397,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,ยุพราชวิทยาลัย,เชียงใหม่,2.88,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,5,4,3,2,5,5,5,5,5,5,5,5,3,4,3,4,5,1,3,3,5,5,5,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
398,ช,ลำพูน,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคลำพูน,ลำพูน,2.65,"20,001-30,000 ",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,2,2,2,3,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1.เรียนจบ
2.มีงานทำ",
399,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,กาวิละวิทยาลัย,เชียงใหม่,2.88,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,5,5,5,4,4,5,5,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1.ได้รับความรู้ที่สามารถนำไปใช้ได้ในชีวิตจริง
2.นำไปใช้ในการทำงานได้",
400,ญ,เชียงใหม่,มัธยมศึกษาของเอกชน,เทพบดิทร์วิทยา,เชียงใหม่,3.52,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,4,5,5,5,4,4,4,4,4,4,5,5,3,5,4,3,5,2,2,4,3,4,4,4,3,5,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  อยากให้มีความสะดวกสบายในการเดินทาง",1.นักเรียนมีคุณภาพชีวิตที่ดีขึ้น,
401,ญ,น่าน,มัธยมศึกษาของรัฐ,แม่จริม,น่าน,3.31,"ไม่เกิน 10,000",สาธารณสุขชุมชน,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,4,3,3,3,5,5,5,4,4,5,,"1. มีความรู้ที่สามารถศึกษาต่อและพัฒนาทักษะชีวิตในอนาคต
2. มีทักษะในการใช้ชีวิตในมหาวิทยาลัยได้อย่างเรียบง่าย
3. เข้ากับเพื่อนได้ดี ทำงานกลุ่มได้ดี",
402,ช,ตาก,มัธยมศึกษาของรัฐ,พบพระวิทยาคม,ตาก,2.44,"10,001-20,000",สาธารณสุขชุมชน,4,5,5,3,3,5,5,4,3,4,4,4,3,3,5,3,4,4,4,4,5,3,4,4,4,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
403,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีเทคนิคโปลิคลานนา,เชียงใหม่,3.56,"20,001-30,000 ",วิทยาการคอมพิวเตอร์,4,4,5,4,4,5,4,4,4,5,5,5,4,4,4,5,3,3,3,3,4,4,4,4,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. จบการศึกษา
2. มีงานทำ
3. มีประสบการณ์",
404,ช,พะเยา,มัธยมศึกษาของรัฐ,ฝายกวางวิทยาคม,พะเยา,3.44,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,3,3,3,2,4,2,3,3,3,3,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,2,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1.ทางมหาวิทยาลัยจะช่วยแนะนำ สถานที่ทำงาน และช่วยจัดหางานตามสาขาที่เรียน,
405,ช,แพร่,มัธยมศึกษาของรัฐ,สร้อยเสรีวิทยา,แพร่,3.63,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,3,3,4,4,5,5,4,4,4,4,5,5,4,3,4,3,4,3,3,3,4,4,4,3,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. จบไปแล้วมีงานทำแน่นอน,
406,ญ,ลำพูน,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคลำพูน,ลำพูน,2.47,"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,4,3,5,4,4,3,3,4,4,4,5,1,3,3,1,5,5,5,5,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. อาหารเช้า
2. อาหารเที่ยง
3. ห้องแอร์",
407,ญ,ลำพูน,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคลำพูน,ลำพูน,2.02,"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,2,3,3,,3,2,2,2,3,4,3,4,1,2,3,1,1,2,2,2,3,3,3,2,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ห่างไกลเมือง,1. สังคมใหม่ ความรู้ใหม่ อะไรใหม่ๆ,
408,ช,แม่ฮ่องสอน,มัธยมศึกษาของรัฐ,แม่สะเรียงบริพัตร,แม่ฮ่องสอน,2.97,"10,001-20,000",วิทยาการคอมพิวเตอร์,2,3,4,4,5,5,2,4,4,4,4,4,3,4,4,2,5,4,3,3,2,4,4,3,3,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก มีความตั้งใจจะเข้าเรียนที่ มช. และไม่สะดวกเมื่อไปแม่ริม,"1. ความรู้ที่สามารถใช้ได้จริง ทำงานได้ง่าย
2. เป็นการลองคณะว่าไปต่อได้ไหม",
409,ญ,ลำพูน,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคลำพูน,ลำพูน,2.47,"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,2,3,3,,3,2,2,2,3,4,4,2,4,4,4,4,3,3,3,3,3,3,3,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก เดินทางไกล,"1. อาหาร
2. ได้ความรู้",
410,ช,เชียงราย,มัธยมศึกษาของรัฐ,,,,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,3,4,3,3,3,4,3,3,4,3,3,3,3,4,4,4,2,2,2,2,4,3,3,3,3,3,,,
411,ช,เชียงราย,สถาบันอาชีวศึกษา,อาชีวศึกษาแม่สาย,เชียงราย,2.09,"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,5,5,5,4,4,4,4,5,4,3,4,3,4,4,4,3,4,3,4,5,4,4,3,3,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. สังคม
2. ความรู้
3. ประสบการณ์",
412,ญ,ลำพูน,มัธยมศึกษาของรัฐ,เวียงเจดีย์วิทยา,ลำพูน,2.52,"30,001 ขึ้นไป",เทคโนโลยีสารสนเทศ,4,4,5,5,5,3,4,4,5,5,5,5,5,4,4,4,3,3,4,3,5,4,4,4,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1.ได้รับความรู้จากการศึกษามากที่สุด
2.ได้เพื่อนที่ดี อาจารย์ที่ดี รุ่นพี่ที่ดีจนจบการศึกษา
3.จบการศึกษาตามที่คาดหวังไว้",
413,ญ,ลำปาง,มัธยมศึกษาของรัฐ,ประชารัฐธรรมคุณ,ลำปาง,3.26,"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,3,3,5,2,2,5,5,3,3,5,5,5,2,2,2,1,5,1,3,1,3,4,3,5,1,5,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  ต้องการให้หาหอพักให้นักศึกษา","1. หวังว่าจะจบไปโดยมีคุณภาพ ความรู้
2. มีสัมพันธ์มิตรทางเพื่อน",อธิบายรายวิชาต่างๆ ให้ละเอียดไม่เร็วจนเกินไป
414,ญ,ลำปาง,มัธยมศึกษาของรัฐ,ประชารัฐธรรมคุณ,ลำปาง,,"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,3,4,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. มีความรู้มากขึ้น สอนอะไรสิ่งใหม่
2. มีอะไรให้น่าค้นหา น่าสนใจ",พัฒนาหน่วยงานให้ดีขึ้นเรื่อยๆ
415,ญ,ลำปาง,มัธยมศึกษาของรัฐ,ประชารัฐธรรมคุณ,ลำปาง,2.89,"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,4,4,3,3,4,4,4,4,3,4,3,3,4,3,3,3,4,2,4,3,3,3,3,4,4,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. มีความรู้มากขึ้น
2. มีการเอาความรู้ประยุกต์ใช้
3. มีการพัฒนาตัวเอง
4. เพื่ออนาคตข้างหน้า",
416,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีเทคนิคโปลิคลานนา,เชียงใหม่,3.23,"20,001-30,000 ",เทคโนโลยีสารสนเทศ,4,4,4,5,4,4,4,5,4,4,1,4,3,4,4,,3,5,3,3,3,4,4,3,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
417,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,ฮอดพิทยาคม,เชียงใหม่,2.60,"10,001-20,000",เทคโนโลยีสารสนเทศ,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
418,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,ฮอดพิทยาคม,เชียงใหม่,3.26,"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,4,4,5,3,3,4,3,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ ไกล",,
419,ช,น่าน,มัธยมศึกษาของรัฐ,ศรัทธาเพชรรังสรรค์,น่าน,2.64,"10,001-20,000",เทคโนโลยีสารสนเทศ,3,3,3,1,2,3,3,3,3,3,5,3,3,3,2,4,1,1,1,1,3,3,3,2,2,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก อยากให้เรียนในตัวเมือง 4 ปีเลย,,
420,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยอาชีวศึกษาเชียงใหม่,เชียงใหม่,3.21,"10,001-20,000",เทคโนโลยีสารสนเทศ,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้ความรู้มากขึ้น
2. ได้ประสบการณ์",
421,ญ,สุโขทัย,มัธยมศึกษาของรัฐ,ทุ่งเสลี่ยมชนูปถัมภ์,สุโขทัย,3.38,"ไม่เกิน 10,000",สาธารณสุขชุมชน,5,4,4,1,5,5,3,3,3,3,3,4,3,5,5,,1,3,1,3,4,5,4,2,2,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้ความรู้
2. สามารถนำไปประกอบอาชีพที่ตรงกับสายงาน",
422,ญ,นครสวรรค์ ,มัธยมศึกษาของรัฐ,ทหารอากาศอนุสรณ์,นครสวรรค์,3.77,"ไม่เกิน 10,000",สาธารณสุขชุมชน,4,4,5,1,3,4,3,4,3,3,3,3,3,3,3,3,1,1,1,1,3,2,1,4,2,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. เจออาจารย์ที่ดี
2. จบแล้วมีงานทำ  มีการยอมรับ",
423,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,สันป่าตองวิทยาคม,เชียงใหม่,2.35,"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,3,3,1,1,2,,4,2,3,3,4,4,2,5,1,1,2,1,1,1,1,3,3,3,1,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
424,ช,เชียงใหม่,มัธยมศึกษาของเอกชน,,,2.34,"10,001-20,000",เทคโนโลยีสารสนเทศ,4,4,5,5,4,4,4,4,3,4,4,4,3,4,4,3,5,5,3,1,4,4,4,4,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. จะได้งานดีๆ ทำ,
425,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,แม่แจ่ม,เชียงใหม่,3.11,"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,4,4,5,3,4,5,4,4,5,4,4,4,3,4,4,4,5,3,4,4,4,5,4,4,3,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. จะได้งานทำที่ดี
2. จะจบในระดับปริญญาตรี
3. จะได้เป็นคนแรกของครอบครัวที่จบการศึกษา",
426,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,พร้าววิทยาคม,เชียงใหม่,2.95,"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,1,1,3,,5,1,3,4,1,5,4,3,3,,5,1,5,4,1,1,3,1,1,1,1,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ความรู้
2. การงาน
3. ความเข้าใจ",สิ่งที่เรียนกับข้อมูลในการต้องเรียน  มีให้หาได้และเห็นชัดเจน
427,ญ,ลำปาง,มัธยมศึกษาของเอกชน,ลำปางกัลยาณี,ลำปาง,3.06,"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,4,4,5,4,4,4,4,4,4,4,3,5,3,2,5,5,4,3,2,2,4,4,4,4,2,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. การได้นำความรู้ไปใช้ในชีวิตจริง
2. สามารถนำไปปรับใช้ในชีวิตประจำวันได้
3. ได้เพื่อนที่ดีและคอยช่วยเหลือกัน",
428,ช,แม่ฮ่องสอน,มัธยมศึกษาของรัฐ,เทศบาลเมืองแม่ฮ่องสอน,แม่ฮ่องสอน,3.00,"10,001-20,000",เทคโนโลยีสารสนเทศ,4,4,3,2,5,4,4,4,5,3,4,4,3,4,4,3,4,4,3,3,4,4,4,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้รับความรู้ในเรื่องต่างๆ
2. สำเร็จการศึกษา
3. ค้นหาตัวเองว่าชอบอะไร",
429,ญ,แม่ฮ่องสอน,มัธยมศึกษาของรัฐ,เทศบาลเมืองแม่ฮ่องสอน,แม่ฮ่องสอน,3.00,"ไม่เกิน 10,000",เทคโนโลยีสารสนเทศ,4,3,5,3,4,4,4,4,4,5,5,4,4,4,3,4,3,3,4,3,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. ได้รับเข้าใจและนำไปใช้ในชีวิตประจำวันได้,
430,ญ,เชียงใหม่,มัธยมศึกษาของเอกชน,โกวิทธำรงค์,เชียงใหม่,3.28,"30,001 ขึ้นไป",สาธารณสุขชุมชน,4,4,5,4,4,4,4,4,4,3,3,3,4,4,3,3,5,2,3,3,4,3,3,3,2,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล  เดินทางไม่สะดวก,"1. ได้ลองปฏิบัติจริงหลายๆ อย่าง
2. มีกิจกรรมสนุกๆ หลากหลาย
3. มีค่ายกิจกรรมสานสัมพันธ์
4. มีสังคมที่สนุก
5. แลกเปลี่ยนความคิดกับอาจารย์ได้
6. มีประสบการณ์การทำงาน",
431,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,,,3.38,"10,001-20,000",สาธารณสุขชุมชน,4,3,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,3,4,4,4,3,4,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. จะได้รับความรู้ที่เหมาะสมต่อการนำไปใช้ต่อยอดอาชีพในอนาคต,
432,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,สารภีพิทยาคม,เชียงใหม่,3.50,"10,001-20,000",สาธารณสุขชุมชน,4,4,5,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5,3,5,4,4,4,5,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. จะมีกิจกรรมที่น่าสนใจและสนุกสนาน,
433,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,สารภีพิทยาคม,เชียงใหม่,3.48,"ไม่เกิน 10,000",สาธารณสุขชุมชน,5,4,4,5,5,5,5,4,4,5,5,5,3,4,4,4,5,5,4,5,4,4,5,5,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. การเรียนที่ดี
2. เรียนจบอย่างมีคุณภาพ",
434,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,ดอยเต่าวิทยาคม,เชียงใหม่,3.18,"ไม่เกิน 10,000",สาธารณสุขชุมชน,3,4,5,3,5,1,5,4,3,5,5,5,3,4,5,1,5,1,2,2,5,1,5,4,3,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกลจากหอและลำบากในการเดินทาง,"1. ได้ทำงานอย่างที่หวังไว้
2. จบมาได้งานทำ",ขอแบบกะทัดรัด
435,ญ,แม่ฮ่องสอน,มัธยมศึกษาของรัฐ,เทศบาลเมืองแม่ฮ่องสอน,แม่ฮ่องสอน,3.54,"10,001-20,000",สาธารณสุขชุมชน,3,3,5,2,5,5,4,3,3,4,4,4,3,4,3,2,4,2,3,3,3,4,4,4,2,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก การเดินทางยุ่งยากมากกว่า,"1. ประสบการณ์ในชีวิตจริงและการทำงาน
2. ในอนาคตมีหน้าที่การงานที่แน่นอน
3. มีสังคมที่ดีในการใช้ชีวิตตลอด 4 ปี",
436,ญ,ลำปาง,มัธยมศึกษาของรัฐ,เมืองปานพัฒนวิทย์,ลำปาง,3.58,,สาธารณสุขชุมชน,4,3,4,3,4,5,4,5,4,4,5,5,2,2,4,4,1,1,3,4,5,1,3,3,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ได้รับความรู้และประสบการณ์มากมาย
2. ได้รับความรู้และทักษะมากพอที่จะไปทำงาน
3. ได้ฝึกปฏิบัติงาน
4. ได้ความรู้ตรงสายที่จะศึกษา",
437,ญ,แม่ฮ่องสอน,มัธยมศึกษาของรัฐ,ราชประชานุเคราะห์ 22,แม่ฮ่องสอน,3.50,"ไม่เกิน 10,000",สาธารณสุขชุมชน,4,3,4,3,3,4,3,3,3,3,4,4,3,3,4,4,1,3,3,2,4,3,4,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. มีความรู้เพิ่มขึ้น
2. มีจิตสาธารณะ
3. มีงานทำ",
438,ญ,เชียงราย,มัธยมศึกษาของรัฐ,องค์การบริหารส่วนจังหวัดเชียงราย,เชียงราย,3.74,"10,001-20,000",สาธารณสุขชุมชน,4,3,5,1,4,5,4,4,4,4,4,4,2,3,2,2,1,1,1,1,3,2,2,2,3,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ,1. ได้ทำงานตรงสาย,อยากให้มีสาขาเพิ่ม
439,ญ,พิษณุโลก,มัธยมศึกษาของรัฐ,ประชาสงเคราะห์วิทยา,พิษณุโลก,3.65,"10,001-20,000",สาธารณสุขชุมชน,3,2,4,1,5,4,3,3,3,3,3,4,5,5,1,1,4,1,1,1,3,3,3,1,1,4,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม
ข้อเสนอแนะ  อยากให้มีพวกอาหารการกิน ข้าวของเครื่องใช้จำหน่ายเยอะๆ","1. ใช้ชีวิตในมหาวิทยาลัยอย่างมีความสุช
2. ได้เพื่อและสังคมใหม่ๆ
3. ได้งานที่ดีๆ และตรงสายที่เรียน",
440,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,,,2.02,"10,001-20,000",เทคโนโลยีสารสนเทศ,3,3,3,,4,3,3,4,4,4,3,5,3,4,3,4,2,2,3,3,4,3,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
441,ญ,ลำพูน,มัธยมศึกษาของรัฐ,ธีรกานท์บ้านโฮ่ง,ลำพูน,3.49,"10,001-20,000",สาธารณสุขชุมชน,4,5,5,5,4,4,5,5,4,5,5,5,3,4,5,1,3,2,3,3,5,4,3,3,2,5,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไกลจากภูมิลำเนา  ไม่สะดวกในการขนย้ายสิ่งของ,"1. ความรู้ในการนำไปประกอบอาชีพ
2. มีที่ในการรับรองในการทำงาน
3. มีทักษะในการดำเนินชีวิต",
442,ญ,เชียงใหม่,มัธยมศึกษาของเอกชน,รัตนาเอื้อวิทยา,เชียงใหม่,3.80,"10,001-20,000",สาธารณสุขชุมชน,3,2,4,4,5,3,3,3,2,2,2,2,3,4,2,2,3,1,1,1,2,2,2,3,2,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  เดินทางลำบาก  หาที่อยู่ยาก เข้าในเมืองยาก  เวลามีธุระด่วนต้องใช้ระยะเวลาเดินทางนาน,"1. ได้รับความไปใช้ในอนาคต
2. ได้รับความรู้ไปปรับใช้ในการประกอบอาชีพ
3. ได้ทำแล็ปได้ทดลองใช้อุปกรณ์ต่างๆ",อยากเรียนในตัวเมือง ไม่อยากไปเรียนที่แม่ริม
443,ญ,กาฬสินธุ์,มัธยมศึกษาของรัฐ,คำม่วง,กาฬสินธุ์,3.55,"ไม่เกิน 10,000",สาธารณสุขชุมชน,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ,1. นำไปใช้ในอนาคต,
444,ญ,ตาก,มัธยมศึกษาของรัฐ,พบพระวิทยาคม,ตาก,2.95,"ไม่เกิน 10,000",สาธารณสุขชุมชน,4,4,5,4,4,5,4,4,5,5,5,4,4,3,4,4,4,3,2,2,4,4,4,4,4,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก  ไม่มีรถเดินทาง  พื้นที่ในเมืองสะดวกกว่า,"1. จบมาแล้วมีงานทำ
2. มีงานรองรับให้ทำ",อยากให้เรียนตรงกันและเลิกเรียนไวกว่านี้
